ProbeID,M,R1,R2,R3,R4,R5,Common Name
1426934_at,0.09,0.19,0.06,0.01,0.84,0.76,A730096F01
1426442_at,0.01,0.04,0.46,0.57,0.64,0.46,Gpm6a
1449956_at,0.84,0.13,0.17,0.73,0.42,0.48,Prkce
1419641_at,0.59,0.73,0.73,0.21,0.34,0.03,Purb
1435106_at,0.07,0.79,0.37,1,0.41,0.47,NA
1417494_a_at,0.05,0.02,0.03,0.01,0.12,0.09,Cp
1419686_at,0.53,0.48,0.74,0.02,0.89,0.03,Tsga14
1433479_at,0.64,0.32,0.99,0.73,0.04,0.3,5730410I19Rik
1419137_at,0.5,0.36,0.51,0.16,0.23,0.01,Shank3
1416761_at,0,0.36,0.73,0.55,0.28,0.65,Hsd11b2
1427927_at,0.72,0.52,0.08,0.58,0.02,0.81,AW049829
1416593_at,0,0.39,0.3,0.81,0.23,0.13,Glrx1
1421835_at,0.67,0.19,0.35,0.01,0.56,0,Mtap7
1450180_a_at,0.19,0.28,0.45,0.73,0,0.03,Rara
1425270_at,0.74,0.27,0.24,0.37,0.05,0.04,Kif1b
1449013_at,0.11,0.08,0.38,0.53,0.63,0.31,Eef2k
1424350_s_at,0.01,0.56,0.84,0.87,0.67,0.31,LOC226856
1416449_x_at,0.27,0.35,0.45,0.02,0.63,0.76,Stxbp2
1424148_a_at,0.5,0.23,0.86,0.84,0.05,0.86,AW049765
1422616_s_at,0.49,0.52,0.06,0.23,0.18,0.9,1700030E05Rik
1416123_at,0.07,0.05,0.18,0.14,0.12,0.16,Ccnd2
1426245_s_at,0.01,0.73,0.69,0.2,0.66,0.39,Mapre2
1449782_at,0.5,0.88,0.89,0.33,0.25,0.55,AA517650
1423516_a_at,0.07,0.71,0.4,0.15,0.43,0.87,Nid2
1452510_at,0.18,0.26,0.96,0.01,0.92,0.77,Pax7
1424007_at,0.08,0.13,0.05,0.02,0.18,0.02,Gdf10
1448737_at,0.01,0.05,0.75,0.52,0.71,0.57,Tm4sf2
1460181_at,4.52E-004,0.94,0.14,0.49,0.07,0.29,Stmn3
1450723_at,0.04,0.18,9.08E-004,0.66,0.33,0.13,Isl1
1438537_at,0.05,0.84,0.99,0.84,0.27,0.7,Got2
1448949_at,0.01,0.15,0.13,0.12,0.15,0.9,Car4
1454022_at,0.99,0.3,0.02,0.64,0.18,0.05,Ephb2; Drt; Erk; Nuk; Cek5; Hek5; Qek5; Sek3; ETECK; Prkm5; Tyro5
1433924_at,0.02,0.1,0.43,0.33,0.55,0.14,Peg3
1415923_at,0,0.36,0.07,0.55,0.13,0.95,Ndn
1417110_at,0.53,0.93,0.48,0.11,0.02,0.63,Man1a
