"ids","r2","r3","r4","r5","name"
"1418523_at",0.95,1.16,0.52,1,"Arih2"
"1451617_at",1.03,0.99,1.34,0.69,"Rho"
"1427490_at",0.97,0.93,0.76,1.6,"Abcb7"
"1449293_a_at",0.98,1.06,0.86,1.58,"Skp2"
"1453744_a_at",0.92,1.12,0.84,1.39,"5530600A18Rik"
"1420976_at",0.58,1.06,1.03,1.01,"Man1b"
"1456745_x_at",0.9,1.37,0.35,0.96,"Sdbcag84"
"1427762_x_at",1.23,0.54,1.06,1,"Hist1h2bc"
"1427167_at",0.89,1.02,0.88,1.31,"AI448196"
"1415857_at",0.98,0.86,1.04,1.47,"Emb"
"1416828_at",1.33,1.07,0.69,0.9,"Snap25"
"1436756_x_at",0.83,1.03,0.13,0.98,"Hadhsc"
"1422003_at",0.31,0.89,1.08,1.11,"Blr1"
"1424613_at",1.43,1.25,0.31,0.76,"Gprc5b"
"1423814_at",0.97,1.11,0.5,1.06,"2900024F02Rik"
"1437189_x_at",1,1.39,0.96,0.55,"AA589396"
"1425798_a_at",0.87,1.19,0.84,1.38,"Recql"
"1415864_at",1.05,1.43,0.78,0.88,"Bpgm"
"1416785_at",1.01,1,1.37,0.71,"Kcnip1"
"1436922_at",1.15,1.31,0.68,1.03,"2410005L11Rik"
"1420644_a_at",0.96,1.09,0.83,1.31,"Sec61a2-pending"
"1451044_at",0.92,1.04,0.65,1.33,"Sip1"
"1428129_at",0.97,0.98,0.76,1.63,"Lman1"
"1448734_at",1.19,1.4,0.38,0.85,"Cp"
"1455938_x_at",0.81,1.47,0.82,1.38,"Rad21"
"1415891_at",0.87,0.99,0.86,1.34,"Suclg1"
"1420619_a_at",1.75,1.26,0.66,0.9,"Aes"
"1426383_at",0.91,1.17,0.39,1.29,"Cry2"
"1433450_at",1.54,1.04,0.93,0.85,"Cdk5r"
"1426087_at",1.07,0.84,1.41,0.25,"Icosl"
"1450180_a_at",0.56,0.83,1.8,1.25,"Rara"
"1425411_at",0.99,0.91,1.66,0.99,"Arl4"
"1439036_a_at",1.37,1.21,0.73,0.59,"Atp1b1"
"1451457_at",1.01,0.91,0.97,1.31,"Sc5d"
"1449953_at",1.34,0.72,1.13,0.97,"4930471O16Rik"
"1415800_at",0.97,1.3,0.75,1.29,"Gja1"
"1448147_at",1.02,0.86,0.52,1.15,"Tnfrsf19"
"1448805_at",0.79,1.22,0.95,1.31,"Usf1"
"1448293_at",1.35,0.97,1.07,0.41,"Ebf1"
"1426208_x_at",1.32,1.22,0.97,0.85,"Plagl1"
"1425474_a_at",1.1,1.08,0.59,1.42,"Pldn"
"1448908_at",0.8,0.88,1.18,1.54,"Ppap2b"
"1416010_a_at",0.99,1.37,0.73,1.18,"Ehd1"
"1428301_at",1.62,1.15,0.84,0.82,"2610042L04Rik"
"1448400_a_at",0.72,0.97,1.2,1.41,"Smarcd2"
"1435449_at",0.8,1.04,0.81,1.3,"Bcl2l11"
"1449385_at",1.29,1.37,0.72,0.75,"Hsd17b9"
"1422198_a_at",0.92,1.16,0.77,1.51,"Shmt1"
"1416232_at",0.54,0.63,0.34,6.64,"Olig2"
"1448891_at",1.12,0.83,1.43,0.91,"Msr2"
"1420919_at",1.01,0.88,1.45,0.73,"Sgk3"
"1426346_at",0.95,1.31,0.79,1.12,"Slc3a1"
"1438654_x_at",1.54,1.21,0.5,0.9,"Mmd2"
"1449101_at",1.37,1.05,1.15,0.62,"Ebf2"
"1416180_a_at",0.84,1.05,0.86,1.31,"Rdx"
"1425045_at",0.94,1.04,0.86,1.32,"Pla2g4b"
"1455393_at",1.06,1.16,0.33,0.82,"Cp"
"1448170_at",1,1.02,0.57,1.34,"Siah2"
"1451560_at",1.31,0.97,0.92,1.02,"6720469B10"
"1420508_at",0.87,0.88,0.54,2.74,"Sema3f"
"1420610_at",0.97,0.74,1.05,1.36,"Prkacb"
"1420979_at",1.31,0.97,0.96,0.82,"Pak1"
"1448955_s_at",1.31,0.96,0.97,0.56,"Cadps"
"1451956_a_at",0.9,0.88,1.02,1.3,"Oprs1"
"1449665_at",1.38,0.73,1.18,0.85,"NA"
"1423375_at",0.54,1.1,1.14,1.17,"Cir-pending"
"1438115_a_at",0.99,1.09,0.82,1.61,"Slc9a3r1"
"1454822_x_at",1.39,1.49,0.55,0.57,"EIG180"
"1431697_at",1.27,0.64,1.38,0.77,"Synj2; SJ2"
"1438211_s_at",0.83,1.35,0.28,1.06,"Dbp"
"1451991_at",0.85,1.6,0.76,1.5,"Epha7"
"1449109_at",0.92,0.98,0.91,1.64,"Socs2"
"1422824_s_at",1.18,1.09,0.81,0.57,"Eps8"
"1434820_s_at",0.95,1.31,0.69,1.27,"Pkig"
"1451685_at",0.89,0.86,1.42,0.9,"Mllt6"
"1433489_s_at",1.3,1.21,0.85,0.7,"Fgfr2"
"1420475_at",0.97,1.06,0.81,1.32,"Mtpn"
"1423671_at",1.12,0.92,1.13,0.27,"Dner"
"1427263_at",0.8,1.45,0.8,0.96,"Xist; A430022B11"
"1416274_at",1.51,0.93,0.99,0.99,"Ctns"
"1415982_at",1.05,1.03,0.82,1.33,"5031400M07Rik"
"1452477_at",1.05,1.18,1,0.46,"3110057O12Rik"
"1439389_s_at",0.64,1.32,0.98,1.21,"Myadm"
"1449084_s_at",0.77,1.1,0.86,1.43,"Sh3d19"
"1431772_a_at",0.89,0.87,1.41,1.04,"Sh3d1B"
"1417143_at",1.07,0.77,0.9,1.35,"Edg2"
"1418502_a_at",0.93,1.01,0.75,1.43,"Oxr1"
"1422616_s_at",1.19,1.08,0.31,0.86,"1700030E05Rik"
"1429530_a_at",0.94,1.1,0.81,1.42,"4122402O22Rik"
"1432331_a_at",1.06,1.22,0.97,0.57,"Prrx2"
"1416835_s_at",0.91,1.02,0.99,1.33,"Amd1"
"1418878_at",1,1.09,1.33,0.68,"Acrv1"
"1418593_at",1.07,1.3,1,0.88,"Taf6"
"1424428_at",1.05,1.09,0.56,1.09,"MGC31515"
"1451339_at",1.47,1.06,0.85,0.9,"Suox"
"1418086_at",1.06,1.03,1.72,0.64,"Ppp1r14a"
"1426934_at",1.27,1.37,0.83,0.91,"A730096F01"
"1427974_s_at",0.76,0.72,1.31,1.2,"D630034H06Rik"
"1448474_at",1.3,1.09,0.89,0.87,"Nek7"
"1437512_x_at",0.97,0.78,1.7,0.92,"Ebna1bp2"
"1416594_at",0.7,0.78,1.12,1.92,"Sfrp1"
"1417524_at",0.95,0.92,0.7,1.44,"Cnil"
"1450990_at",1.07,1.36,0.7,0.87,"Gpc3"
"1450172_at",0.86,1.2,0.89,1.62,"D17Wsu76e"
"1423226_at",1.11,0.8,1.69,0.87,"Ms4a1"
"1423250_a_at",0.88,1.09,0.63,1.68,"Tgfb2"
"1452178_at",0.91,0.97,1.73,0.78,"Plec1"
"1438138_a_at",1.16,0.59,1.01,0.94,"Pex6"
"1417861_at",1.08,1.12,1.35,0.4,"Ccnc"
"1455805_x_at",1.01,1.42,0.98,1.06,"Foxp3"
"1416983_s_at",1.5,0.98,1.02,0.73,"Foxo1"
"1424131_at",0.97,0.82,1.41,0.95,"Col6a3"
"1426801_at",0.96,0.85,0.73,1.33,Sep-08
"1418525_at",0.91,0.98,0.76,1.46,"Pcm1"
"1435626_a_at",0.89,0.86,0.67,1.31,"Herpud1"
"1448781_at",0.52,0.99,0.82,2.3,"Nab1"
"1422313_a_at",1.01,1.22,0.78,2.08,"Igfbp5"
"1418469_at",0.99,0.93,0.97,1.33,"Nrip1"
"1421672_at",1.04,0.46,1.07,1.15,"Il17"
"1420062_at",1.19,0.8,1.07,0.58,"NA"
"1449335_at",0.85,0.71,1.44,0.99,"Timp3"
"1449681_at",1.63,0.93,0.98,0.56,"Hdgf"
"1435733_x_at",0.93,1.34,0.72,1.3,"1500026D16Rik"
